id,type,filename,path,title
ST-0023,ST,ST-0023_deliberate_practice_one_skill_at_a_time.md,03_knowledge_base/statements/ST-0023_deliberate_practice_one_skill_at_a_time.md,ST-0023 — SPIN-Kompetenz erfordert gezieltes Üben eines Fragetyps nach dem anderen
ST-0025,ST,ST-0025_research_methodology_field_study.md,03_knowledge_base/statements/ST-0025_research_methodology_field_study.md,ST-0025 — Forschungsmethodik: Dreijährige Feldforschung unter Compliance-Profis
ST-0068,ST,ST-0068_verlangsamen_als_verhandlungstool.md,03_knowledge_base/statements/ST-0068_verlangsamen_als_verhandlungstool.md,ST-0068 — Verlangsamen als Verhandlungsinstrument
ST-0084,ST,ST-0084_deadlines_sind_meist_flexibel.md,03_knowledge_base/statements/ST-0084_deadlines_sind_meist_flexibel.md,ST-0084 — Deadlines sind fast immer flexibel
ST-0107,ST,ST-0107_vier_durchbrueche_in_der_vertriebsgeschichte.md,03_knowledge_base/statements/ST-0107_vier_durchbrueche_in_der_vertriebsgeschichte.md,ST-0107 — Vier Durchbrüche in der Vertriebsgeschichte
ST-0108,ST,ST-0108_fuenf_profile_statistisch_abgeleitet.md,03_knowledge_base/statements/ST-0108_fuenf_profile_statistisch_abgeleitet.md,"ST-0108 — Fünf Vertriebsprofile sind statistisch abgeleitet, nicht willkürlich"
ST-0110,ST,ST-0110_krisenverkaeuferstudie_ausgangslage.md,03_knowledge_base/statements/ST-0110_krisenverkaeuferstudie_ausgangslage.md,ST-0110 — Ausgangslage: Wenige Verkäufer performten in der Krise 2009 auf Höchstniveau
ST-0112,ST,ST-0112_solution_selling_dominiert_b2b.md,03_knowledge_base/statements/ST-0112_solution_selling_dominiert_b2b.md,ST-0112 — Solution Selling dominiert B2B-Vertriebsstrategie
ST-0114,ST,ST-0114_performance_gap_transaktional_vs_solution.md,03_knowledge_base/statements/ST-0114_performance_gap_transaktional_vs_solution.md,ST-0114 — Performance-Gap: 4× größer in Solution Selling als in transaktionalem Vertrieb
ST-0115,ST,ST-0115_fuenf_profile_definitionen.md,03_knowledge_base/statements/ST-0115_fuenf_profile_definitionen.md,ST-0115 — Fünf Vertriebsprofile: Definitionen
ST-0152,ST,ST-0152_drei_quellen_kundenunentschlossenheit.md,03_knowledge_base/statements/ST-0152_drei_quellen_kundenunentschlossenheit.md,ST-0152 — Drei Quellen der Kundenunentschlossenheit
ST-0153,ST,ST-0153_jolt_akronym_vier_elemente.md,03_knowledge_base/statements/ST-0153_jolt_akronym_vier_elemente.md,ST-0153 — JOLT: Judge / Offer / Limit / Take Risk Off
ST-0171,ST,ST-0171_optionen_erfinden_vor_entscheiden_brainstorming.md,03_knowledge_base/statements/ST-0171_optionen_erfinden_vor_entscheiden_brainstorming.md,ST-0171 — Optionen erfinden vor Entscheiden: Brainstorming ohne Commitment
ST-0212,ST,ST-0212_group_iq_soziale_harmonie_bell_labs.md,03_knowledge_base/statements/ST-0212_group_iq_soziale_harmonie_bell_labs.md,"ST-0212 — Group IQ: Soziale Harmonie übertrifft Einzeltalent in Gruppenleistung (Sternberg/Williams, Bell Labs)"
ST-0218,ST,ST-0218_behavioral_economics_definition_irrationalitaet_vorhersagbar.md,03_knowledge_base/statements/ST-0218_behavioral_economics_definition_irrationalitaet_vorhersagbar.md,"ST-0218 — Behavioral Economics: Systematische, vorhersagbare Irrationalität statt Zufall"
ST-0227,ST,ST-0227_hot_cold_empathy_gap_berkeley_arousal_experiment.md,03_knowledge_base/statements/ST-0227_hot_cold_empathy_gap_berkeley_arousal_experiment.md,ST-0227 — Hot-Cold-Empathy-Gap: Systematische Unterschätzung eigenen Verhaltens im erregten Zustand
ST-0228,ST,ST-0228_deadline_experiment_prokrastination_selbstkontrolle.md,03_knowledge_base/statements/ST-0228_deadline_experiment_prokrastination_selbstkontrolle.md,ST-0228 — Selbstgesetzte vs. diktierte vs. keine Deadlines (Prokrastinations-Experiment)
ST-0245,ST,ST-0245_bier_bestellung_sequenz_conformitaet_uniqueness.md,03_knowledge_base/statements/ST-0245_bier_bestellung_sequenz_conformitaet_uniqueness.md,ST-0245 — Sequenzielle öffentliche Bierbestellung senkt Genuss (Uniqueness-Bedürfnis als Treiber)
